rank,dpto5,departamento,provincia,mca_cluster_label,eci_software,eci_diversity,eci_avg_ubiquity,gh_total_developers,gh_total_repos,pob_2022,pct_nbi_2010,pct_jefe_sec_2010,pct_pc_2010,rad_2014,pob_2010,tasa_empleo_2010
85,06399,Guaminí,Buenos Aires,Pampeana-Educated,0.36044691347645685,7,57.57142857142857,2.0,37.0,11662.0,2.0359848484848486,26.231060606060606,43.46590909090909,15.618752530432609,11826.0,77.410754
86,06644,Pinamar,Buenos Aires,Metropolitan-Diversified,0.3413122954343949,16,54.9375,39.0,413.0,39224.0,8.117001828153565,47.37355271176112,56.92870201096892,33.707692451365446,25728.0,74.968719
87,06028,Almirante Brown,Buenos Aires,Metropolitan-Diversified,0.33840063382334573,15,48.6,65.0,649.0,583209.0,10.465975860003313,32.11231343759161,45.720057609706984,63.80409760831654,552902.0,73.455626
88,86049,Capital,Santiago del Estero,Metropolitan-Diversified,0.33390776549075496,5,55.6,2.0,68.0,328824.0,9.432645763377089,44.64262352274214,37.83379122875874,56.674423167870984,267125.0,70.757887
89,06049,Azul,Buenos Aires,Metropolitan-Core,0.30528633771006514,13,58.92307692307692,40.0,356.0,75152.0,3.533151680290645,35.13623978201635,44.70935513169846,40.29708382286984,65280.0,75.207295
90,18168,Santo Tomé,Corrientes,Intermediate-Urban,0.28237109209157085,3,62.0,9.0,52.0,71922.0,14.198271723475756,31.673067690830532,32.19515122419587,18.954324571374915,61297.0,62.790629
91,06581,Necochea,Buenos Aires,Metropolitan-Core,0.2587933194837455,15,55.6,79.0,862.0,101483.0,3.4049323786793955,35.16945107398568,46.930787589498806,35.72618288589465,92933.0,73.42339
92,82007,Belgrano,Santa Fe,Pampeana-Educated,0.24890798780561507,7,69.85714285714286,8.0,29.0,48544.0,4.488640287272978,29.549064291140116,48.00773427249499,48.5561560341409,44788.0,74.284863
93,06819,Tornquist,Buenos Aires,Metropolitan-Core,0.2487201507175236,9,58.22222222222222,12.0,93.0,14591.0,3.283384750991626,32.52534156015866,46.49625385632437,8.309413287347184,12723.0,76.319296
94,14119,Río Segundo,Córdoba,Intermediate-Urban,0.24591435785905214,10,59.0,36.0,187.0,113311.0,4.665004674353381,27.39171081333749,45.58741040822686,30.70665724600481,103718.0,71.06632
95,82133,Vera,Santa Fe,Intermediate-Urban,0.243060972080171,6,60.666666666666664,9.0,87.0,55463.0,14.671997831390621,24.972892382759554,26.78232583355923,13.650560163942504,51494.0,57.918441
96,06525,Marcos Paz,Buenos Aires,Intermediate-Urban,0.22187873028372326,7,68.71428571428571,7.0,19.0,64761.0,12.213427947598253,27.258460698689955,37.02237991266376,21.400270789785118,54181.0,69.330799
97,30021,Diamante,Entre Ríos,Pampeana-Educated,0.21739240281508035,9,61.22222222222222,6.0,71.0,52312.0,4.978354978354979,34.66585497835498,44.29112554112554,18.973050744473785,46361.0,67.574982
98,14140,San Justo,Córdoba,Metropolitan-Core,0.21460743141832453,17,53.76470588235294,220.0,1866.0,228951.0,4.253950203495331,33.01562125927699,46.51663873593488,28.86035367293161,206307.0,76.480638
99,30028,Federación,Entre Ríos,Intermediate-Urban,0.20830110030168322,11,61.54545454545455,11.0,75.0,78264.0,10.826710702858913,23.227371245742596,37.46000619258953,22.387272609479528,68736.0,68.866147
100,50021,Godoy Cruz,Mendoza,Metropolitan-Core,0.20694533617693603,10,57.1,17.0,548.0,194557.0,3.724618736383442,50.53420479302832,52.70065359477124,85.58123977483616,191903.0,72.549205
101,38094,Tilcara,Jujuy,Semi-Rural-Active,0.20444085977211035,4,71.25,2.0,15.0,14621.0,18.63408890197233,26.111274654106566,23.049749779216956,4.047057795113966,12349.0,66.677048
102,06840,Tres de Febrero,Buenos Aires,Metropolitan-Core,0.18420873600298493,14,56.07142857142857,49.0,486.0,362319.0,4.331722741322343,44.80939354105233,55.53167300245141,88.15550261848847,340071.0,77.39694
103,26042,Gaiman,Chubut,Intermediate-Urban,0.1643312675668603,8,61.125,9.0,105.0,12505.0,8.523375142531357,26.026225769669328,42.388825541619156,9.294029269360875,11141.0,73.873
104,06147,Carlos Casares,Buenos Aires,Pampeana-Educated,0.16426829191647266,8,54.875,8.0,118.0,22905.0,4.128617363344051,27.408360128617364,46.91961414790997,11.011922685248239,22237.0,76.098988
105,06280,General Alvarado,Buenos Aires,Pampeana-Educated,0.16286567520230927,9,56.888888888888886,17.0,203.0,45307.0,6.354068488847,36.22368834432925,43.31605403707194,19.159965938455134,39594.0,70.922298
106,06882,Zárate,Buenos Aires,Metropolitan-Diversified,0.12767875217164,9,51.77777777777778,19.0,168.0,131415.0,9.120042336753594,36.60953164966337,51.14515038367683,61.33164839685521,114269.0,72.217636
