dpto5,departamento,provincia,region,mca_cluster_label,eci_software,eci_diversity,eci_avg_ubiquity,gh_total_developers,gh_total_repos,gh_devs_per_10k,pob_2010,pob_2022,pct_jefe_sec_2010,pct_pc_2010,pct_nbi_2010,rad_2014
14007,Calamuchita,Córdoba,Pampeana,Metropolitan-Diversified,0.4379301597713727,11,53.36363636363637,26.0,214.0,3.445442739392012,54730.0,75462.0,37.22140112326338,41.96866686373042,7.768253029855158,8.517233577572108
90105,Tafí Viejo,Tucumán,NOA,Intermediate-Urban,0.4355524823811235,3,54.666666666666664,7.0,37.0,0.40491216298293004,121638.0,172877.0,32.37605804111246,35.01612253123741,13.052532580948542,30.41998461542887
30049,Gualeguay,Entre Ríos,Pampeana,Intermediate-Urban,0.4177578622649236,10,58.7,15.0,100.0,2.641031058525248,51883.0,56796.0,30.198724695103078,37.80102767287811,7.750882189067046,29.18963303423985
14063,Marcos Juárez,Córdoba,Pampeana,Metropolitan-Core,0.4072880799475455,11,48.36363636363637,46.0,274.0,4.28760509292918,104205.0,107286.0,31.94272184011726,49.39959409178036,3.323373548314353,27.66095676781013
14049,Ischilín,Córdoba,Pampeana,Intermediate-Urban,0.3777886541881903,2,67.0,11.0,58.0,3.053604641479055,31312.0,36023.0,30.638882528051294,33.04327913899702,9.88092512021983,14.03063906410731
06763,San Nicolás,Buenos Aires,Pampeana,Metropolitan-Core,0.37259120723714784,14,55.285714285714285,81.0,759.0,4.8602818963499885,145857.0,166657.0,39.91254356174114,49.07771192648332,5.6047590508534775,32.15599608161326
82042,General López,Santa Fe,Pampeana,Metropolitan-Core,0.3626530966432183,13,58.76923076923077,72.0,625.0,3.5918285899578457,191024.0,200455.0,32.267031072876065,46.10307933599391,4.700529527773033,37.06476841757371
82077,9 de Julio,Santa Fe,Pampeana,Intermediate-Urban,0.36208497477550217,6,67.5,2.0,55.0,0.646370628918622,29832.0,30942.0,22.838517840805125,26.692589204025616,15.016010978956999,27.338131637254676
06098,Berisso,Buenos Aires,Pampeana,Metropolitan-Diversified,0.3609858781160067,10,55.0,22.0,169.0,2.185032527188757,88470.0,100685.0,40.50785092353091,47.02174942620861,11.202593901417174,59.14688305314217
06399,Guaminí,Buenos Aires,Pampeana,Pampeana-Educated,0.36044691347645685,7,57.57142857142857,2.0,37.0,1.7149717029669012,11826.0,11662.0,26.231060606060606,43.46590909090909,2.0359848484848486,15.618752530432609
06644,Pinamar,Buenos Aires,Pampeana,Metropolitan-Diversified,0.3413122954343949,16,54.9375,39.0,413.0,9.942892106873343,25728.0,39224.0,47.37355271176112,56.92870201096892,8.117001828153565,33.707692451365446
06028,Almirante Brown,Buenos Aires,Pampeana,Metropolitan-Diversified,0.33840063382334573,15,48.6,65.0,649.0,1.1145232669591862,552902.0,583209.0,32.11231343759161,45.720057609706984,10.465975860003313,63.80409760831654
86049,Capital,Santiago del Estero,NOA,Metropolitan-Diversified,0.33390776549075496,5,55.6,2.0,68.0,0.06082281098703258,267125.0,328824.0,44.64262352274214,37.83379122875874,9.432645763377089,56.674423167870984
06049,Azul,Buenos Aires,Pampeana,Metropolitan-Core,0.30528633771006514,13,58.92307692307692,40.0,356.0,5.322546306152864,65280.0,75152.0,35.13623978201635,44.70935513169846,3.533151680290645,40.29708382286984
18168,Santo Tomé,Corrientes,NEA,Intermediate-Urban,0.28237109209157085,3,62.0,9.0,52.0,1.2513556352715443,61297.0,71922.0,31.673067690830532,32.19515122419587,14.198271723475756,18.954324571374915
